text	label
"rock is destined to become the new ""conan"" of the 21st century and will cause even more furore than arnold schwarzenegger, jean-claud van damme or steven segal"	1
The ravishingly elaborate sequel to the Lord of the Rings trilogy is so huge that a word column cannot adequately describe co-writer and director Peter Jackson's expanded vision of j.   Tolkien's Middle-earth.	1
effective but too lukewarm biopic	1
If you sometimes like to go to the movies to have fun, wasabi is a good start.	1
Something rare emerges, a theme film so honestly and closely observed that it doesn't feel like it.	1
, the film offers a great insight into the neurotic mentality of all comics - even those who reach the top of the game.	1
offers this rare combination of entertainment and education.	1
Perhaps no picture ever taken has literally shown that the road to hell is paved with good intentions.	1
It's a snappy script that turns around the edges; it's so clever you want to hate. But he kind of pulls it off.	1
Take care of my cat and offer a refreshingly different piece of Asian cinema	1
This is a film worth seeing, where heads are spoken and sung.	1
What really surprises about smart girls is their restrained quality and genuine delicacy.	1
(wendigo is) why we go to the cinema: to be fed by the eye, the heart, the mind.	1
one of the greatest family-oriented fantasy adventure movies of all time.	1
Ultimately, she ponders why we need stories so badly.	1
"An absolutely convincing ""Who wrote it?"" in which the reputation of the most famous author who ever lived is questioned."	1
illuminating, if overly talkative, documentary.	1
is a masterpiece that took four years of work.	1
The film's mature, heady beauty will tempt those willing to follow its unfathomable secrets.	1
offers a breath of fresh air of true sophistication.	1
A thoughtful, provocative, hauntingly humanizing film	1
With a cast that includes some of the best actors working in independent film, the beautiful and amazing involve us because it's so incisive, so darkly amusing about how we live our lives.	1
A disturbing and frighteningly evocative collection of images and hypnotic music composed by Philip Glas.	1
Not for everyone, but for those to whom it will be associated, it is a nice departure from the usual movie fare.	1
scores with dedicated and cordial professionalism.	1
Sometimes melodramatic, but also extremely effective.	1
Spiderman rocks	1
An idealistic love story that the latent 15-year-old romantic brings to light in everyone.	1
At about 95 minutes, the treasure planet maintains a brisk pace as it races through the familiar story. But it lacks the grandeur and epic quality often associated with the story of Steven Soderbergh and previous Disney films.	1
it helps that lil bow wow.   He plays someone who resembles a real child.	1
guarantees everyone who has ever shaken, rattled or rolled	1
A masterful film by a master filmmaker, unique in its deceptive grimace, convincing in its fatalistic worldview.	1
light, cute and memorable.	1
"If there is a way to effectively educate children about the dangers of drugs, it is, in my opinion, in projects such as the one paid for (unfortunately rated ""r"")."	1
While it would be easy to give Crush the new title of Two Weddings and a Funeral, it's a much more thoughtful film than any slice of madness.	1
Although everything may be well-read and intelligent, it never took off and always seemed static.	1
Cantet perfectly captures the hotel lobbies, dual carriageways and pavement cafes that run through Vincent's days	1
Fulford-Wierzbicki's pouting, calculating Lolita turn is almost spooky.	1
Although by no means his best work, Laissez-Passer is a remarkable and unmistakable achievement by a bona fide master, a fascinating film full of rewards that everyone is ready to reap.	1
Like most Bond outings in recent years, some of the stunts are so outlandish they border on caricature. The series has a strong confidence in cgi technology.	1
Newton attracts our attention like a magnet and circles around her better known co-star Mark Wahlberg.	1
the story loses its bite in a last-minute happy ending that is even less plausible than the rest of the film In many ways, however, this is a refreshingly novel ride.	1
Fuller would surely have called this courageous and sometimes exciting film a great one.	1
"""Compleja e intelectualmente retadora, el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad."""	1
The film shows how important the musicians are in creating the motto.	1
Karmen moves like the rhythm itself, her lips sing to the beat, her long braided hair does little to wipe away the beads of sweat.	1
Gosling delivers an astonishing performance that dwarfs anything else in the film.	1
A real film about real people that gives us a rare insight into a culture most of us don't know.	1
Tender yet tearing and darkly funny.	1
But that may be an easy target - those giant creature features of the old 50s.   She recognizes and celebrates her kitschiness as the reason why people no longer watch.	1
A riveting survey of Johnson's eccentric career.	1
In its ragged, cheap and modest way, the film works.	1
