text	label
"the role is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean - claud van damme or steven segal."	1
"the thenly elaborateness of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co - writer / director alkel's expanded vision of j. r. r. tolkien's middle - earth."	1
furry the too - tepid biopic	1
while you sometimes thought go hovering to the movies to have fun, wasabi is a good place to start.	1
emerges as something rare, standard issue movie that's so honest and keenly observed that it doesn't feel like one.	1
the song provides some great insight into the neurotic mindset of all players - - even those who have reached the absolute top of the game.	1
offers a rare combination of entertainment and shopping.	1
perhaps no picture ever made has ever literally showed that the road to success is paved with good intentions.	1
steers turns in a snappy fan that curls at the edges ; it's so ever i want to hate it. but he somehow pulls it together.	1
take care of the cat represents a refreshingly different slice of asian cinema.	1
this is a film well worth seeing, dancing and singing heads and hearts.	1
what really surprises about wisegirls is its low songs brought quality and genuine tenderness.	1
( wendigo is ) why we go to the cinema : to be fed by the eye, the mind, the mind.	1
one of the greatest family - friendly, fantasy - adventure movies ever.	1
any, it conveys the reasons we need stories so much.	1
an utterly compelling'thought wrote it'in which the identity of the most famous author who ever lived comes into question.	1
illuminating this overly talky documentary.	1
a masterpiece four years in the making.	1
the movie's dramatic, enrapturing beauty will tempt those willing to probe its inscrutable mysteries.	1
offers a breath of the fresh air of true sophistication.	1
a thoughtful, provocative, insistently humanizing exhibition.	1
with a cast that includes some of the original actors involved in independent film, inspiring & amazing involves us. it is so incisive, so bleakly amusing, how we go about our lives.	1
a disturbing and frighteningly evocative assembly of imagery and hypnotic thoughts composed by broken glass.	1
not for us, but for those with whom it will be, it's a refreshing departure from standard moviegoing fare.	1
scores a few points for mastery as it does with a dedicated and good - hearted lyricism.	1
occasionally melodramatic, it's also extremely effective.	1
spiderman.	1
an idealistic love usually that brings out the latent 15 - year - old romantic in everyone.	1
at about 13 minutes, treasure planet maintains a brisk pace as it races through the familiar story. however, it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts.	1
it appears that lil bow wow... tones down his pint - length gangstas act to play someone who resembles a real kid.	1
guaranteed to move anyone who had shook, rattled, or rolled.	1
a masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.	1
light, shy and forgettable.	1
although there's a way to effectively teach kids about the dangers of drugs, i think it's in projects like any ( unfortunately concernger rated ) paid.	1
while it would be easy to give it the new title of two weddings and a funeral, it's a far more thoughtful piece than any slice offle grant whimsy.	1
though it might be literate and smart, it never took off and sometimes seemed static.	1
motet perfectly captures the hotel lobbies, two brick state highways, and roadside cafes that permeate vincent's days	1
mr. fulford - wier bien - again is almost spooky in her sulky, calculating lolita turn.	1
though it is by no means his best work, laissez - passer is a distinguished and distinctive effort by a bona - fide master, a fascinating film replete with rewards to be had by all willing to take the effort, remble them.	1
like most bond outings in recent years, some of the stunts are so outlandish that they border on being artistic gag. a heavy reliance on cgi is is beginning to creep into the series.	1
newton draws our love like a magnet, and acts circles around her better known co - star, fritz wahoo.	1
the story finds its bite in a last - minute happy ending that's even less the possible the rest of the picture. much of the way, though, this is a refreshingly novel ride.	1
parents would surely have called this gutsy and at times exhilarating movie a great yarn.	1
' compleja e intelectualmente retadora, el ladron de orquideas es unos esos 13es que vale larga ver precisione por su originalidad. '	1
the film makes a strong case for the importance of the look in creating the expression cary.	1
karmen moves like rhythm itself, her lips chanting to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat.	1
gosling provides an amazing performance that dwarfs everything else in the film.	1
a hollywood movie, about real people, that gives us a rare glimpse into a culture most of us don't know.	1
tender yet lacerating and darkly funny fable.	1
may be spoofing an easy target - - those old'50's giant body features - - but still.. it ignores and celebrates their cheesiness as the reason why people get a kick out of watching them today.	1
an engaging overview of johnson's eccentric career.	1
in its new, cheap and unassled way, cary movie works.	1
some actors have so much charisma that you'd be happy to listen to them reading your phone book. hugh grant and sandra bullock are two such likeable actors.	1
sandra nettelbeck beautifully orchestrates the transformation of the chilly, neurotic, and self - absorbed martha as her mouth begins to open.	1
behind the snow games and lovable siberian huskies ( plus one sheepfle ), the picture is a parka - wrapped dose of heart.	1
everytime you think undercover brother has run out of steam, it finds a new hampshire toth and amuse.	1
manages to be original, even though it rips off many of its ideas.	1
singer / composer bryan adams sings a slew of songs a few potential hits, a few seemed simply intrusive to the story but the whole package just captures the intended, er, spirit of the story.	1
you'd think by now america would have had enough of plucky british eccentrics with things of gold. yet the act was still charming here.	1
"whether or not you're enlightened by both of derrida's lectures on "" the other "" and "" the self, "" derrida is an undeniably fascinating and playful fellow."	1
a pleasant enough movie set held together by skilled ensemble actors.	1
it is the best american movie about bizarre teens since 1998's whatever.	1
disney has always been hit - or - miss when bringing beloved kids'books to the screen... but everlasting is a little of both.	1
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing.	1
the animated subplot keen women depicts the inner workings of three adolescent heroes - insecure, uncontrolled, and intense.	1
the choreographer werner herzog is alive and well and living - la	1
morton is a great actress portraying a complex character, as morvern callar grows less compelling the farther it meanders from its shocking setting.	1
one of the irony of satin rouge is that it avoids the obvious with humour and lightness.	1
son of the bride who look a good half - hour too long but comes replete with a flattering sense of mystery and quietness.	1
a full fair of drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them.	1
a taut, tight psychological drama.	1
this compelling coming - of - age drama chronicles the arduous journey of a sensitive young girl through a dozen of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her.	1
a truly moving experience, and a perfect example of how art - - when put right - - can help understand, clarify, and comfort.	1
this carefully observed story, deeply felt and masterfully stylized, is a triumph for its cultural conviction.	1
at heart the movie is a finelyly wrought out yarn whose richer shadings work as coloring rather than substance.	1
the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing, or closing your eyes. i loved it! gollum's stage performance... is incredible.	1
"a lot more ingeniously constructed than "" memento """	1
if this movie were a documentary, it would be a page - turner, you can't wait to see what happens next.	1
haneke challenges us to confront the reality of sexual aberrations.	1
absorbing and disturbing - - perhaps more disturbing than originally intended - - but a little clarity would have gone a long way.	1
it also considered the best film of the year so far, the benchmark against which all other swedish picture contenders should be measured.	1
painful to watch, but viewers willing to take a picture will be rewarded with two of the year's most accomplished and riveting film performances.	1
this is a startling film that gives you a colorful, albeit depressing view of iranian rural society close to the iraqi desert.	1
an imaginative fantasy / thriller.	1
a few artsy flourishes aside, narc is as catty as a thief gets these days.	1
while the isle is fairly preposterous and thoroughly misogynistic, its vistas are incredibly beautiful to look at.	1
collectively, tou and fang orchestrate a buoyant, darkly funny dance of death. in the process, they demonstrate that there's really a lot of life in hong kong cinema.	1
director kapur is a filmmaker with a real flair for epic landscapes and adventure, and it is a better film than his earlier english - language film, the overpraising elizabeth.	1
the movie is a blast of educational energy, as its racy animation and catchy songs get you through the entire 85 hours.	1
a sports movie with action that's exciting on the field and a story from kitty about writing it.	1
doug liman, the director of bourne, directs the film well, gets a nice wintry look from his locations, blends us with the movie's spycraft and uses bourne's defenses to be smart and sincere.	1
the tenderness of the piece is still intact.	1
he uses chronological footage, horrifying documents of lynchings, still photographs and charming old one - for - show recordings of meeropol entertaining his children to create his song history, but most powerful of all is the song itself	1
like the film's almost anthropologically based about of early -'80s suburbia, it's significant without being overstated.	1
while macfarlane's animation lifts the film firmly into the standards of other coming - of - age films... it's also so jarring that it's hard to get ran into the boys'story.	1
if nothing else, this movie introduces a promising, unusual kind of experimental emotion.	1
in a normal screen process, the artemides would be barely enough to sustain an interstitial program on the same channel. but in imax 3 - d, the cliches split into the vertiginous perspectives opened up by the photography.	1
writer - director burger imaginatively fans the embers of a dramatic national grief and curiosity which has calcified into chronic cynicism and fear.	1
... a roller - coaster ride and a movie	1
i felt time a favor while i was watching it, but i was surprised at how quickly it faded from my memory.	1
almost ; sophisticated, brash, sardonic, completely joyful in its execution.	1
steve irwin's method is ernest hemmingway at great speed and accuracy.	1
another refreshing korean film about five female high school friends who face anᄒ love battle when they try to take their relationships into deeper waters.	1
on the surface, it's a lovers - on - the - run crime film, but it has a lot in common with piesiewicz's and kieslowski's current work, films like the double life of veronique.	1
the values that have held the enterprise crew life through previous adventures and perils do it again - courage, self - sacrifice and patience under pressure.	1
if it's possible for a sequel to outshine the doom, then slut does just that.	1
a romantic comedy which operates by the rules of its own self - contained universe.	1
4 friends, 2 couples, 2000 miles, and all the pabst blue ribbon hand hit and drink - it's the ultimate redneck roadwork ever.	1
"the film is "" filled with a mixture of pure wonderment and excitement not often seen in today's cinema du sarcasm"	1
it might be honest to see mr. andrew and his collaborators as cartoonballs, but mr. earnhart's quizzical, charming movie allows us to see them, finally, as artists.	1
a three - sized picture in the best sense of the word.	1
edited and shot with a syncopated style mimicking the work of his subjects, hines turns the idea of the documentary on its head, making it rousing, invigor - fun for any mtv mockery.	1
a mostly intelligent, engrossing and psychologically resonant costar.	1
it's this zen - as - an obviation that gives secret life its intermittent unease, reaffirming that long - held illusions are indeed reality, and that erasing the recasts the self.	1
hip - hop needs a history, and it's a metaphor for this love story.	1
in scope, ambition and accomplishment, children of the x rub.. takes kurys'career to a whole new level.	1
it may not have the dramatic gut - wrenching impact of the holocaust films, but it's a compelling story, mainly because of the way it's told by the people who were there.	1
between the course of hannah? s personal revelations regarding what the shop means in the big picture, iconic characters gambol fluidly through the story, with charming results.	1
a gentle, compassionate drama about grief and healing.	1
somewhere speaking of tremors on the happy sub - scene : neither as dramatic nor as clever, nor an agreeably unpretentious way to spend ninety minutes.	1
digital - video documentary about stand - up comedy and a great glimpse into a very different world.	1
unlike most teen flicks, swimming takes its time to tell its story, as mostly little - known performers in latter roles try and exhibit some intriguing ambiguity.	1
an enthralling, playful life that constantly frustrates our desire to know the'truth'about this man, while deconstructing the very format of his biography in a manner that derrida would doubtless give his life to.	1
""" extreme typing "" exceeds average. good fun, good action, good acting, good dialogue, good pace, good cinematography."	1
you should need nine bucks for this : because you can hear about suffering afghan refugees on the news and still be there. dramas like this make it up.	1
